stimulus,category,seed,block,epoch,pred_A,pred_B
5,A,1,4,3,0.85540473,0.14459518
6,A,1,4,3,0.87828493,0.12171512
7,A,1,4,3,0.5020498,0.49795017
8,B,1,4,3,0.13371056,0.8662895
9,B,1,4,3,0.13933863,0.8606612
10,B,1,4,3,0.13933863,0.8606612
11,B,1,4,3,0.13933863,0.86066127
12,B,1,4,3,0.14459518,0.8554047
13,B,1,4,3,0.12171512,0.87828493
14,B,1,4,3,0.49795017,0.5020498
1,A,1,5,3,0.88000613,0.11999387
2,A,1,5,3,0.87426674,0.1257333
3,A,1,5,3,0.87426674,0.1257333
4,A,1,5,3,0.87426674,0.12573329
5,A,1,5,3,0.868804,0.13119605
6,A,1,5,3,0.89358026,0.10641982
7,A,1,5,3,0.50531596,0.4946842
8,B,1,5,3,0.11999387,0.88000613
9,B,1,5,3,0.12573332,0.87426674
10,B,1,5,3,0.1257333,0.87426674
11,B,1,5,3,0.12573332,0.87426674
12,B,1,5,3,0.13119608,0.8688039
13,B,1,5,3,0.10641982,0.89358026
14,B,1,5,3,0.4946841,0.50531596
1,A,1,6,3,0.8898472,0.110152744
2,A,1,6,3,0.88403654,0.1159636
3,A,1,6,3,0.88403654,0.11596359
4,A,1,6,3,0.88403654,0.1159636
5,A,1,6,3,0.87842554,0.12157455
6,A,1,6,3,0.90456486,0.0954352
7,A,1,6,3,0.50771636,0.49228367
8,B,1,6,3,0.11015276,0.8898472
9,B,1,6,3,0.11596361,0.88403654
10,B,1,6,3,0.1159636,0.88403654
11,B,1,6,3,0.11596361,0.88403654
12,B,1,6,3,0.12157458,0.87842554
13,B,1,6,3,0.09543521,0.90456486
14,B,1,6,3,0.49228376,0.5077163
1,A,1,7,3,0.89725405,0.10274605
2,A,1,7,3,0.89139396,0.10860606
3,A,1,7,3,0.89139396,0.10860606
4,A,1,7,3,0.89139396,0.10860606
5,A,1,7,3,0.88567144,0.11432867
6,A,1,7,3,0.9128377,0.08716245
7,A,1,7,3,0.5095526,0.4904472
8,B,1,7,3,0.102746055,0.89725405
9,B,1,7,3,0.108606055,0.89139396
10,B,1,7,3,0.10860604,0.891394
11,B,1,7,3,0.108606055,0.89139396
12,B,1,7,3,0.11432866,0.8856714
13,B,1,7,3,0.08716246,0.9128376
14,B,1,7,3,0.4904471,0.50955266
1,A,1,8,3,0.903031,0.09696907
2,A,1,8,3,0.8971354,0.10286469
3,A,1,8,3,0.8971354,0.102864705
4,A,1,8,3,0.8971354,0.102864705
