seed,epoch,block,concept,fan_size,fact,prob
1,2,6,c3,4,f6,0.4552425742149353
1,2,6,c3,4,f7,0.09474832564592361
1,2,7,c1,1,f1,0.3168538808822632
1,2,7,c2,2,f2,0.8774581551551819
1,2,7,c2,2,f3,0.056373242288827896
1,2,7,c3,4,f4,0.12858101725578308
1,2,7,c3,4,f5,0.0945751741528511
1,2,7,c3,4,f6,0.45624929666519165
1,2,7,c3,4,f7,0.0945751741528511
1,2,8,c1,1,f1,0.3168955147266388
1,2,8,c2,2,f2,0.8805635571479797
1,2,8,c2,2,f3,0.05597503110766411
1,2,8,c3,4,f4,0.1285720020532608
1,2,8,c3,4,f5,0.09444601088762283
1,2,8,c3,4,f6,0.456998348236084
1,2,8,c3,4,f7,0.09444601088762283
1,2,9,c1,1,f1,0.31692802906036377
1,2,9,c2,2,f2,0.8829456567764282
1,2,9,c2,2,f3,0.05567143112421036
1,2,9,c3,4,f4,0.12856492400169373
1,2,9,c3,4,f5,0.0943460613489151
1,2,9,c3,4,f6,0.4575764834880829
1,2,9,c3,4,f7,0.0943460613489151
1,2,10,c1,1,f1,0.31695419549942017
1,2,10,c2,2,f2,0.8848309516906738
1,2,10,c2,2,f3,0.055432286113500595
1,2,10,c3,4,f4,0.1285613626241684
1,2,10,c3,4,f5,0.09426303207874298
1,2,10,c3,4,f6,0.4580608010292053
1,2,10,c3,4,f7,0.09426303207874298
1,2,11,c1,1,f1,0.31697550415992737
1,2,11,c2,2,f2,0.9107993245124817
1,2,11,c2,2,f3,0.05116568133234978
1,2,11,c3,4,f4,0.12855863571166992
1,2,11,c3,4,f5,0.09419500082731247
1,2,11,c3,4,f6,0.45845717191696167
1,2,11,c3,4,f7,0.09419500082731247
1,2,12,c1,1,f1,0.3169933259487152
1,2,12,c2,2,f2,0.9121239185333252
1,2,12,c2,2,f3,0.05099644884467125
1,2,12,c3,4,f4,0.12855641543865204
1,2,12,c3,4,f5,0.09413831681013107
1,2,12,c3,4,f6,0.4587874412536621
1,2,12,c3,4,f7,0.09413831681013107
1,3,1,c1,1,f1,0.5129761099815369
1,3,1,c2,2,f2,0.5842547416687012
1,3,1,c2,2,f3,0.10021968185901642
1,3,1,c3,4,f4,0.13065987825393677
1,3,1,c3,4,f5,0.10225816071033478
1,3,1,c3,4,f6,0.4988044500350952
1,3,1,c3,4,f7,0.10207327455282211
1,3,2,c1,1,f1,0.5564426183700562
1,3,2,c2,2,f2,0.7818523645401001
1,3,2,c2,2,f3,0.07005589455366135
1,3,2,c3,4,f4,0.06009044498205185
1,3,2,c3,4,f5,0.10851427167654037
1,3,2,c3,4,f6,0.5969318151473999
1,3,2,c3,4,f7,0.06009044498205185
1,3,3,c1,1,f1,0.5696451663970947
