seed,epoch,block,level,accuracy
64,1,9,super,1.0
64,1,9,basic,0.9875
64,1,9,sub,0.8458333333333333
64,1,10,super,1.0
64,1,10,basic,0.9875
64,1,10,sub,0.8458333333333333
64,2,1,super,1.0
64,2,1,basic,0.9875
64,2,1,sub,0.8333333333333334
64,2,2,super,1.0
64,2,2,basic,0.9875
64,2,2,sub,0.8458333333333333
64,2,3,super,1.0
64,2,3,basic,0.9875
64,2,3,sub,0.8458333333333333
64,2,4,super,1.0
64,2,4,basic,0.9875
64,2,4,sub,0.8458333333333333
64,2,5,super,1.0
64,2,5,basic,0.9875
64,2,5,sub,0.8458333333333333
64,2,6,super,1.0
64,2,6,basic,0.9875
64,2,6,sub,0.8458333333333333
64,2,7,super,1.0
64,2,7,basic,0.9875
64,2,7,sub,0.8458333333333333
64,2,8,super,1.0
64,2,8,basic,0.9875
64,2,8,sub,0.8458333333333333
64,2,9,super,1.0
64,2,9,basic,0.9875
64,2,9,sub,0.8458333333333333
64,2,10,super,1.0
64,2,10,basic,0.9875
64,2,10,sub,0.8458333333333333
64,3,1,super,1.0
64,3,1,basic,0.9875
64,3,1,sub,0.8208333333333333
64,3,2,super,1.0
64,3,2,basic,0.9875
64,3,2,sub,0.85
64,3,3,super,1.0
64,3,3,basic,0.9875
64,3,3,sub,0.8458333333333333
64,3,4,super,1.0
64,3,4,basic,0.9875
64,3,4,sub,0.8458333333333333
64,3,5,super,1.0
64,3,5,basic,0.9875
64,3,5,sub,0.8458333333333333
64,3,6,super,1.0
64,3,6,basic,0.9875
64,3,6,sub,0.8458333333333333
64,3,7,super,1.0
64,3,7,basic,0.9875
64,3,7,sub,0.8458333333333333
64,3,8,super,1.0
64,3,8,basic,0.9875
64,3,8,sub,0.8458333333333333
64,3,9,super,1.0
64,3,9,basic,0.9875
64,3,9,sub,0.8458333333333333
64,3,10,super,1.0
64,3,10,basic,0.9875
64,3,10,sub,0.8458333333333333
64,4,1,super,1.0
64,4,1,basic,0.9875
64,4,1,sub,0.8208333333333333
