seed,epoch,block,label_rate,distortion,accuracy,pred_share_B
12345,2,5,0.75,0.05,0.5,0.0
12345,2,5,0.75,0.15,0.5,0.0
12345,2,5,0.75,0.3,0.5,0.0
12345,2,6,0.75,0.0,0.5,0.0
12345,2,6,0.75,0.05,0.5,0.0
12345,2,6,0.75,0.15,0.5,0.0
12345,2,6,0.75,0.3,0.5,0.0
12345,2,7,0.75,0.0,0.5,0.0
12345,2,7,0.75,0.05,0.5,0.0
12345,2,7,0.75,0.15,0.5,0.0
12345,2,7,0.75,0.3,0.5,0.0
12345,2,8,0.75,0.0,0.5,0.0
12345,2,8,0.75,0.05,0.5,0.0
12345,2,8,0.75,0.15,0.5,0.0
12345,2,8,0.75,0.3,0.5,0.0
12345,2,9,0.75,0.0,0.5,0.0
12345,2,9,0.75,0.05,0.5,0.0
12345,2,9,0.75,0.15,0.5,0.0
12345,2,9,0.75,0.3,0.5,0.0
12345,2,10,0.75,0.0,0.5,0.0
12345,2,10,0.75,0.05,0.5,0.0
12345,2,10,0.75,0.15,0.5,0.0
12345,2,10,0.75,0.3,0.5,0.0
12345,2,11,0.75,0.0,0.5,0.0
12345,2,11,0.75,0.05,0.5,0.0
12345,2,11,0.75,0.15,0.5,0.0
12345,2,11,0.75,0.3,0.5,0.0
12345,2,12,0.75,0.0,0.5,0.0
12345,2,12,0.75,0.05,0.5,0.0
12345,2,12,0.75,0.15,0.5,0.0
12345,2,12,0.75,0.3,0.5,0.0
12345,3,1,0.75,0.0,0.5,0.0
12345,3,1,0.75,0.05,0.5,0.0
12345,3,1,0.75,0.15,0.5,0.0
12345,3,1,0.75,0.3,0.5,0.0
12345,3,2,0.75,0.0,0.5,0.0
12345,3,2,0.75,0.05,0.5,0.0
12345,3,2,0.75,0.15,0.5,0.0
12345,3,2,0.75,0.3,0.5,0.0
12345,3,3,0.75,0.0,0.5,0.0
12345,3,3,0.75,0.05,0.5,0.0
12345,3,3,0.75,0.15,0.5,0.0
12345,3,3,0.75,0.3,0.5,0.0
12345,3,4,0.75,0.0,0.5,0.0
12345,3,4,0.75,0.05,0.5,0.0
12345,3,4,0.75,0.15,0.5,0.0
12345,3,4,0.75,0.3,0.5,0.0
12345,3,5,0.75,0.0,0.5,0.0
