seed,code,club,freq,distance_to_111,recog_score,p_club1,p_club1_raw,p_club2_raw,tag
2,213,Either,10,2,-1.5222295529850454,0.4582065216961698,0.4072068107068303,0.4814902973121676,Other
2,231,Either,0,2,-3.4199667244327956,0.47531367311050027,0.3615837574052754,0.3991428487515285,Other
2,123,Either,0,2,-3.482859329161808,0.4908157300770304,0.3958495923209788,0.41066407067603383,Other
2,312,Either,0,2,-3.3507104748726144,0.6258429611109985,0.4426689837382214,0.2646474059075038,Other
2,111,1,0,0,-3.2929911592008545,0.8570352644640784,0.7146679441826836,0.11921599713865752,Prototype
2,222,2,0,3,-3.334793686956372,0.15555377287889746,0.12121830906653665,0.658051179696736,Other
2,333,Either,0,3,-4.25895760374877,0.5456834184373052,0.4171597078687139,0.3473123170708571,Other
2,444,Neither,0,3,-3.7800450463536386,0.49662226350010313,0.11426255122682447,0.1158168463852013,Other
2,411,Neither,1,1,-3.0934276727606025,0.7258083736042533,0.3748034865853472,0.14159106081306652,Other
2,422,Neither,1,3,-2.9582425475904097,0.22640002685481778,0.10967560140724106,0.3747572095374859,Other
2,141,Neither,1,1,-3.2821109455891566,0.68903149238348,0.43206760302542174,0.19499749893504834,Other
2,242,Neither,1,3,-3.2191568446314887,0.25388406242206163,0.13866167213155542,0.4074997166878879,Other
2,114,Neither,1,1,-2.9019195728971168,0.7085989542793697,0.38140178357445,0.15684595341568944,Other
2,224,Neither,1,3,-2.772502472756072,0.3145075480476403,0.1460708845570084,0.31837229165217495,Other
2,441,Neither,1,2,-2.7906968616300603,0.5901748621953664,0.17636097295175565,0.12246736462893688,Other
2,442,Neither,1,3,-2.7813217573213582,0.4616939870899199,0.11913117911798342,0.13889942654113108,Other
2,144,Neither,1,2,-2.8266279429800467,0.5652773255125504,0.1875005537878931,0.14419602296384887,Other
2,244,Neither,1,3,-3.1601240495572585,0.5593633722959148,0.18112988101142186,0.1426844586153787,Other
2,414,Neither,1,2,-3.121721440262564,0.6598069143691135,0.21572808183007924,0.11122830060848853,Other
2,424,Neither,1,3,-3.0730737707502436,0.4547692732813512,0.15419259446914485,0.1848641614030814,Other
2,134,Neither,1,2,-2.911981201145784,0.4508555335943977,0.2502397600787487,0.3047933745569491,Other
2,234,Neither,1,3,-2.7871212294395122,0.45768565826893404,0.16600980304872057,0.19670596059702153,Other
2,413,Neither,1,2,-3.3110533632489485,0.5400833985887191,0.329698913366934,0.28076034945888784,Other
2,423,Neither,1,3,-3.3337583097116634,0.3492787097459429,0.15038722818877664,0.2801778878418133,Other
2,341,Neither,1,2,-3.1673189532453323,0.5478513901315777,0.3548883552023191,0.29289380177474994,Other
2,342,Neither,1,3,-3.3359866698418226,0.36549858554928777,0.17158885815949365,0.2978763188441934,Other
2,124,Neither,1,2,-2.9761820119865923,0.47533110292091807,0.30172548388088816,0.333043589774885,Other
2,214,Neither,1,2,-2.8813981653233203,0.500554729212386,0.32553242511401975,0.3248108962371526,Other
2,412,Neither,1,2,-3.0215591524232166,0.4911870351191904,0.28236339696477847,0.2924958252381463,Other
2,421,Neither,1,2,-2.7739330625161323,0.5307231824461927,0.30437754414408474,0.26913715092003004,Other
2,241,Neither,1,2,-2.8759203919950673,0.5086813333598263,0.2953133731443658,0.28523353073714486,Other
2,142,Neither,1,2,-2.9747772656882585,0.45644498222659247,0.3085133093086763,0.3673913918531417,Other
2,143,Neither,1,2,-3.148840021869048,0.5491964609111791,0.2547886443089015,0.2091412285933715,Other
2,243,Neither,1,3,-3.274704036861679,0.4503851983955269,0.2863447473504293,0.3494326902086137,Other
2,314,Neither,1,2,-3.3925858187946614,0.632164999609701,0.27568520535229385,0.16041170846372266,Other
2,324,Neither,1,3,-2.923165927162946,0.44832156609695173,0.2617906720100034,0.32214436883384906,Other
2,431,Neither,1,2,-3.2681287483702017,0.7130699605538358,0.2773207864258559,0.11159026265334393,Other
2,432,Neither,1,3,-2.924544305047757,0.437717563076162,0.21741093736731607,0.27928134941096655,Other
3,112,1,10,1,-1.2633591222122624,0.7803711051872124,0.7108214568316324,0.2000547302884751,Freq_Exemplar
3,121,1,10,1,-1.1605066896187812,0.8440414259443156,0.760811933610457,0.14057976379261622,Freq_Exemplar
3,211,1,10,1,-1.0079933546007838,0.8721605536770947,0.7973126999283008,0.11686840648240569,Freq_Exemplar
3,113,1,1,1,-2.9073948372237943,0.6917080042819679,0.5646437574192288,0.2516598763739945,Rare_Exemplar
3,131,1,1,1,-3.2283659906723985,0.7970708375757325,0.5953645916243121,0.15157603593031777,Rare_Exemplar
3,311,1,1,1,-2.899486506786508,0.7799130764253809,0.6301187091621114,0.17781582637634838,Rare_Exemplar
3,133,1,1,2,-3.324437815968694,0.5364196903076476,0.41659686347182473,0.3600279901626457,Rare_Exemplar
3,313,1,1,2,-3.0651068007457765,0.5708980212653799,0.45932627425192474,0.34524171712741225,Rare_Exemplar
3,331,1,1,2,-3.044080985084883,0.6768193432325473,0.5165716159993617,0.2466625042492874,Rare_Exemplar
3,221,2,10,2,-1.3088365370524642,0.25876343289345227,0.23393901785933582,0.6701261943055604,Other
3,212,2,10,2,-1.1889379870181016,0.15913647112381285,0.1445932334382695,0.7640183024162093,Other
3,122,2,10,2,-1.2641291418881104,0.16306833116458228,0.14740576950952222,0.7565451598757054,Other
3,223,2,1,3,-2.7643127178953266,0.17894071288351465,0.14908239179112923,0.6840560784248559,Other
