experiment,subject,stimulus_id,type,correct_cat,p_correct,choice,accuracy,p_A
Exp2,10,Stim15,Old,A,0.7176126894469564,A,1,0.7176126894469564
Exp2,10,Stim13,Old,A,0.5804008315350646,A,1,0.5804008315350646
Exp2,10,Stim9,New,A,0.4927084349967237,B,0,0.4927084349967237
Exp2,10,Stim12,Old,B,0.5411438638623924,B,1,0.4588561361376075
Exp2,11,Stim9,New,A,0.43598168929136055,B,0,0.43598168929136055
Exp2,11,Stim2,Old,B,0.47731826326625504,A,0,0.522681736733745
Exp2,11,Stim4,Old,A,0.736649661266377,A,1,0.736649661266377
Exp2,11,Stim11,New,A,0.5109059239368896,A,1,0.5109059239368896
Exp2,11,Stim16,New,B,0.6384990572735201,B,1,0.36150094272647987
Exp2,11,Stim5,Old,A,0.5953865534385389,A,1,0.5953865534385389
Exp2,11,Stim1,New,A,0.4754194369404909,B,0,0.4754194369404909
Exp2,11,Stim14,Old,B,0.7194569371046129,B,1,0.28054306289538705
Exp2,11,Stim6,New,A,0.7046206380099601,A,1,0.7046206380099601
Exp2,11,Stim12,Old,B,0.5099832461867677,B,1,0.49001675381323223
Exp2,11,Stim7,Old,A,0.7451804584184772,A,1,0.7451804584184772
Exp2,11,Stim10,Old,B,0.7473027017165794,B,1,0.25269729828342063
Exp2,11,Stim13,Old,A,0.561744151675061,A,1,0.561744151675061
Exp2,11,Stim15,Old,A,0.7093481913104975,A,1,0.7093481913104975
Exp2,11,Stim3,New,B,0.5297052622887413,B,1,0.4702947377112587
Exp2,11,Stim8,New,B,0.49504442726462994,A,0,0.5049555727353701
Exp2,12,Stim3,New,B,0.544941469360861,B,1,0.45505853063913904
Exp2,12,Stim10,Old,B,0.7504486686612333,B,1,0.24955133133876672
Exp2,12,Stim7,Old,A,0.6960098140209482,A,1,0.6960098140209482
Exp2,12,Stim9,New,A,0.42374726239717103,B,0,0.42374726239717103
Exp2,12,Stim4,Old,A,0.6304875391988668,A,1,0.6304875391988668
Exp2,12,Stim14,Old,B,0.7629813499083276,B,1,0.2370186500916724
Exp2,12,Stim13,Old,A,0.635447493010862,A,1,0.635447493010862
Exp2,12,Stim5,Old,A,0.6529387169457542,A,1,0.6529387169457542
Exp2,12,Stim8,New,B,0.5483019312132,B,1,0.4516980687867999
Exp2,12,Stim16,New,B,0.6845969111303482,B,1,0.31540308886965185
Exp2,12,Stim1,New,A,0.5216648788024951,A,1,0.5216648788024951
Exp2,12,Stim6,New,A,0.7558430598515505,A,1,0.7558430598515505
Exp2,12,Stim12,Old,B,0.5828408628360564,B,1,0.41715913716394354
Exp2,12,Stim2,Old,B,0.5110655658294925,B,1,0.48893443417050747
Exp2,12,Stim11,New,A,0.5108604194403462,A,1,0.5108604194403462
Exp2,12,Stim15,Old,A,0.7646507709779772,A,1,0.7646507709779772
Exp2,13,Stim12,Old,B,0.5599908950387771,B,1,0.4400091049612229
Exp2,13,Stim9,New,A,0.5000668241545136,A,1,0.5000668241545136
Exp2,13,Stim7,Old,A,0.7011020094620408,A,1,0.7011020094620408
Exp2,13,Stim5,Old,A,0.6199302323762299,A,1,0.6199302323762299
Exp2,13,Stim3,New,B,0.5227366876626331,B,1,0.4772633123373669
Exp2,13,Stim14,Old,B,0.6599477293365982,B,1,0.3400522706634018
Exp2,13,Stim15,Old,A,0.7353462524303861,A,1,0.7353462524303861
Exp2,13,Stim13,Old,A,0.6199302323762299,A,1,0.6199302323762299
Exp2,13,Stim11,New,A,0.5565849490929479,A,1,0.5565849490929479
Exp2,13,Stim8,New,B,0.5227366876626331,B,1,0.4772633123373669
Exp2,13,Stim16,New,B,0.6743674827964516,B,1,0.3256325172035484
Exp2,13,Stim6,New,A,0.7177291815116787,A,1,0.7177291815116787
Exp2,13,Stim2,Old,B,0.5599908950387771,B,1,0.4400091049612229
Exp2,13,Stim10,Old,B,0.7151231516688541,B,1,0.2848768483311459
Exp2,13,Stim4,Old,A,0.6110044931276052,A,1,0.6110044931276052
Exp2,13,Stim1,New,A,0.5565849490929479,A,1,0.5565849490929479
Exp2,14,Stim14,Old,B,0.6629375788909178,B,1,0.33706242110908224
Exp2,14,Stim2,Old,B,0.5451323234214973,B,1,0.45486767657850274
Exp2,14,Stim10,Old,B,0.685990717364318,B,1,0.314009282635682
Exp2,14,Stim9,New,A,0.49928085256117233,B,0,0.49928085256117233
Exp2,14,Stim13,Old,A,0.6275093144499412,A,1,0.6275093144499412
Exp2,14,Stim3,New,B,0.5190396567825406,B,1,0.48096034321745934
Exp2,14,Stim8,New,B,0.5398829329286352,B,1,0.46011706707136474
