seed,pattern,p_terrigitis
13,0101,0.05112395551882689
13,0110,0.5
13,0111,0.9488760444811731
13,1000,0.9488760444811731
13,1001,0.5
13,1010,0.05112395551882689
13,1011,0.5
13,1100,0.9631745736917149
13,1101,0.5849242111256369
13,1110,0.5849242111256369
13,1111,0.9631745736917149
14,0000,0.4183941349795796
14,0001,0.07543901811705855
14,0010,0.03725734659651867
14,0011,0.3671250130052501
14,0100,0.5039619824591696
14,0101,0.11292702136281534
14,0110,0.48033758937789967
14,0111,0.8249001423039142
14,1000,0.9528163065972647
14,1001,0.696090256980143
14,1010,0.09515577337295829
14,1011,0.6118556142243233
14,1100,0.9681084859178701
14,1101,0.7918265033867693
14,1110,0.7966021835505959
14,1111,0.9522926889420573
15,0000,0.3671250130052501
15,0001,0.03725734659651867
15,0010,0.07543901811705855
15,0011,0.4183941349795796
15,0100,0.6118556142243234
15,0101,0.09515577337295829
15,0110,0.6960902569801429
15,0111,0.9528163065972647
15,1000,0.8249001423039142
15,1001,0.4803375893778996
15,1010,0.11292702136281534
15,1011,0.5039619824591697
15,1100,0.9522926889420573
15,1101,0.7966021835505959
15,1110,0.7918265033867693
15,1111,0.9681084859178702
16,0000,0.20817349661323065
16,0001,0.03189151408212982
16,0010,0.047707311057942584
16,0011,0.20339781644940413
16,0100,0.3039097430198572
16,0101,0.04718369340273538
16,0110,0.3881443857756767
16,0111,0.9048442266270418
16,1000,0.8870729786371847
16,1001,0.49603801754083043
16,1010,0.17509985769608577
16,1011,0.5196624106221004
16,1100,0.9245609818829416
16,1101,0.5816058650204203
16,1110,0.63287498699475
16,1111,0.9627426534034814
17,0000,0.1596372014274131
17,0001,0.042745167496856855
17,0010,0.042745167496856855
17,0011,0.1596372014274131
17,0100,0.5151154032655678
17,0101,0.17484953346375387
17,0110,0.5160659292385945
17,0111,0.8864415457132703
17,1000,0.8864415457132703
17,1001,0.5160659292385945
17,1010,0.17484953346375387
17,1011,0.5151154032655677
17,1100,0.9247255559523112
17,1101,0.6336535256658663
17,1110,0.6336535256658663
17,1111,0.9247255559523112
18,0000,0.20817349661323067
18,0001,0.03189151408212982
18,0010,0.047707311057942584
18,0011,0.20339781644940413
18,0100,0.3039097430198571
18,0101,0.047183693402735385
18,0110,0.3881443857756767
18,0111,0.9048442266270418
18,1000,0.8870729786371847
18,1001,0.49603801754083043
18,1010,0.17509985769608577
18,1011,0.5196624106221005
18,1100,0.9245609818829414
18,1101,0.5816058650204203
18,1110,0.63287498699475
18,1111,0.9627426534034814
19,0000,0.34921221674942415
19,0001,0.03722214653113594
19,0010,0.07531530886588517
19,0011,0.3818685699654832
19,0100,0.44369575192685495
19,0101,0.1301964418485768
19,0110,0.5878256923647539
19,0111,0.8996297630421993
19,1000,0.8243996185591871
19,1001,0.4284617323426077
19,1010,0.11261772085592701
19,1011,0.49565818091642866
19,1100,0.9345048892324748
19,1101,0.5891407386904911
19,1110,0.6427181865647429
19,1111,0.9390429646247963
20,0000,0.41507578887436325
20,0001,0.03682542630828497
20,0010,0.03682542630828497
20,0011,0.41507578887436325
20,0100,0.4999999999999999
20,0101,0.05112395551882689
20,0110,0.5
20,0111,0.9488760444811731
20,1000,0.9488760444811731
20,1001,0.4999999999999999
20,1010,0.05112395551882689
20,1011,0.5
20,1100,0.9631745736917149
20,1101,0.5849242111256366
20,1110,0.5849242111256369
20,1111,0.9631745736917149
21,0000,0.20817349661323067
21,0001,0.03189151408212982
21,0010,0.047707311057942584
21,0011,0.20339781644940413
21,0100,0.3039097430198571
21,0101,0.047183693402735385
21,0110,0.3881443857756767
21,0111,0.9048442266270418
21,1000,0.8870729786371847
21,1001,0.49603801754083043
21,1010,0.17509985769608577
21,1011,0.5196624106221004
21,1100,0.9245609818829414
21,1101,0.5816058650204203
21,1110,0.63287498699475
21,1111,0.9627426534034814
22,0000,0.3552614078812519
22,0001,0.05811426712361052
22,0010,0.06165676487393571
22,0011,0.28673484955994943
22,0100,0.4978802201257555
22,0101,0.04804101476488113
22,0110,0.4964944532229431
22,0111,0.9429208951283522
22,1000,0.8805999041373397
22,1001,0.4523058808779622
22,1010,0.09830929269156932
22,1011,0.4001319246030965
22,1100,0.9635376261461966
22,1101,0.573548291142732
22,1110,0.6070182859326257
22,1111,0.9627937523969492
23,0000,0.3671250130052501
23,0001,0.03725734659651867
23,0010,0.07543901811705855
23,0011,0.41839413497957956
23,0100,0.6118556142243234
23,0101,0.09515577337295829
23,0110,0.6960902569801429
23,0111,0.9528163065972647
23,1000,0.8249001423039142
23,1001,0.4803375893778996
23,1010,0.11292702136281534
23,1011,0.5039619824591696
23,1100,0.9522926889420573
23,1101,0.7966021835505959
23,1110,0.7918265033867693
23,1111,0.9681084859178701
24,0000,0.3213928726712897
24,0001,0.07927083730892541
24,0010,0.044036337815306345
24,0011,0.23374367638470883
24,0100,0.557183561728221
24,0101,0.1757054359153338
24,0110,0.5048003961488193
24,0111,0.8870350894287096
24,1000,0.8829289820061907
24,1001,0.44106068016093153
24,1010,0.09210099179065574
24,1011,0.3555833889486207
24,1100,0.9569666872029974
24,1101,0.6434474706909986
24,1110,0.6107660118672091
24,1111,0.9244673328305173
25,0000,0.3671250130052501
25,0001,0.03725734659651867
25,0010,0.07543901811705855
25,0011,0.41839413497957956
25,0100,0.6118556142243234
25,0101,0.09515577337295829
25,0110,0.6960902569801429
25,0111,0.9528163065972647
25,1000,0.8249001423039142
25,1001,0.48033758937789967
25,1010,0.11292702136281534
25,1011,0.5039619824591696
25,1100,0.9522926889420573
25,1101,0.7966021835505959
25,1110,0.7918265033867693
25,1111,0.9681084859178701
26,0000,0.20817349661323065
26,0001,0.03189151408212982
26,0010,0.047707311057942584
26,0011,0.20339781644940408
26,0100,0.3039097430198571
26,0101,0.047183693402735385
26,0110,0.3881443857756767
26,0111,0.9048442266270418
26,1000,0.8870729786371847
26,1001,0.49603801754083043
26,1010,0.17509985769608577
26,1011,0.5196624106221004
26,1100,0.9245609818829413
26,1101,0.5816058650204203
26,1110,0.63287498699475
26,1111,0.9627426534034814
27,0000,0.20817349661323067
27,0001,0.03189151408212982
27,0010,0.047707311057942584
27,0011,0.20339781644940413
27,0100,0.3039097430198571
27,0101,0.047183693402735385
27,0110,0.3881443857756767
27,0111,0.9048442266270418
27,1000,0.8870729786371847
27,1001,0.49603801754083043
27,1010,0.17509985769608577
27,1011,0.5196624106221005
27,1100,0.9245609818829416
27,1101,0.5816058650204203
27,1110,0.63287498699475
27,1111,0.9627426534034814
28,0000,0.20581108045024288
28,0001,0.032169451270019064
28,0010,0.04782213757579767
28,0011,0.22968371665271758
28,0100,0.30466430837913033
28,0101,0.05258020191827007
28,0110,0.4252399955110215
28,0111,0.9149139297274202
28,1000,0.9211931796425334
28,1001,0.5776056372612651
28,1010,0.1792370082045921
28,1011,0.6763256473825279
28,1100,0.9351339466177796
28,1101,0.6936436704180484
28,1110,0.7160709103572122
28,1111,0.9420830413308344
29,0000,0.19552905824562664
29,0001,0.03213684662077293
29,0010,0.0492677472238937
29,0011,0.20622326056815637
29,0100,0.40558208972773757
