structure,seed,epoch,block,accuracy
xor,128,3,3,1.0
xor,128,3,4,1.0
xor,128,3,5,1.0
xor,128,3,6,1.0
xor,128,3,7,1.0
xor,128,3,8,1.0
xor,128,3,9,1.0
xor,128,3,10,1.0
xor,128,3,11,1.0
xor,128,3,12,1.0
xor,128,3,13,1.0
xor,128,3,14,1.0
xor,128,3,15,1.0
xor,128,4,1,1.0
xor,128,4,2,1.0
xor,128,4,3,1.0
xor,128,4,4,1.0
xor,128,4,5,1.0
xor,128,4,6,1.0
xor,128,4,7,1.0
xor,128,4,8,1.0
xor,128,4,9,1.0
xor,128,4,10,1.0
xor,128,4,11,1.0
xor,128,4,12,1.0
xor,128,4,13,1.0
xor,128,4,14,1.0
xor,128,4,15,1.0
xor,356,1,1,1.0
xor,356,1,2,1.0
xor,356,1,3,1.0
xor,356,1,4,1.0
xor,356,1,5,1.0
xor,356,1,6,1.0
xor,356,1,7,1.0
xor,356,1,8,1.0
xor,356,1,9,1.0
xor,356,1,10,1.0
xor,356,1,11,1.0
xor,356,1,12,1.0
xor,356,1,13,1.0
xor,356,1,14,1.0
xor,356,1,15,1.0
xor,356,2,1,1.0
xor,356,2,2,1.0
xor,356,2,3,1.0
xor,356,2,4,1.0
xor,356,2,5,1.0
xor,356,2,6,1.0
xor,356,2,7,1.0
xor,356,2,8,1.0
xor,356,2,9,1.0
xor,356,2,10,1.0
xor,356,2,11,1.0
xor,356,2,12,1.0
xor,356,2,13,1.0
xor,356,2,14,1.0
xor,356,2,15,1.0
xor,356,3,1,1.0
xor,356,3,2,1.0
xor,356,3,3,1.0
xor,356,3,4,1.0
xor,356,3,5,1.0
xor,356,3,6,1.0
xor,356,3,7,1.0
xor,356,3,8,1.0
xor,356,3,9,1.0
xor,356,3,10,1.0
xor,356,3,11,1.0
xor,356,3,12,1.0
xor,356,3,13,1.0
xor,356,3,14,1.0
xor,356,3,15,1.0
xor,356,4,1,1.0
xor,356,4,2,1.0
xor,356,4,3,1.0
xor,356,4,4,1.0
xor,356,4,5,1.0
xor,356,4,6,1.0
xor,356,4,7,1.0
xor,356,4,8,1.0
xor,356,4,9,1.0
xor,356,4,10,1.0
xor,356,4,11,1.0
xor,356,4,12,1.0
xor,356,4,13,1.0
xor,356,4,14,1.0
xor,356,4,15,1.0
