structure,seed,epoch,block,accuracy,pred_share_B
correlated,12345,2,5,1.0,0.5
correlated,12345,2,6,1.0,0.5
correlated,12345,2,7,1.0,0.49999999999999994
correlated,12345,2,8,1.0,0.5
correlated,12345,2,9,1.0,0.5
correlated,12345,2,10,1.0,0.5
correlated,12345,2,11,1.0,0.5
correlated,12345,2,12,1.0,0.5
correlated,12345,2,13,1.0,0.49999999999999994
correlated,12345,2,14,1.0,0.5
correlated,12345,2,15,1.0,0.5
correlated,12345,3,1,1.0,0.5
correlated,12345,3,2,1.0,0.5
correlated,12345,3,3,1.0,0.5
correlated,12345,3,4,1.0,0.5
correlated,12345,3,5,1.0,0.5
correlated,12345,3,6,1.0,0.5
correlated,12345,3,7,1.0,0.49999999999999994
correlated,12345,3,8,1.0,0.5
correlated,12345,3,9,1.0,0.5
correlated,12345,3,10,1.0,0.5
correlated,12345,3,11,1.0,0.5
correlated,12345,3,12,1.0,0.5
correlated,12345,3,13,1.0,0.49999999999999994
correlated,12345,3,14,1.0,0.5
correlated,12345,3,15,1.0,0.5
correlated,12345,4,1,1.0,0.5
correlated,12345,4,2,1.0,0.5
correlated,12345,4,3,1.0,0.5
correlated,12345,4,4,1.0,0.5
correlated,12345,4,5,1.0,0.5
correlated,12345,4,6,1.0,0.5
correlated,12345,4,7,1.0,0.49999999999999994
correlated,12345,4,8,1.0,0.5
correlated,12345,4,9,1.0,0.5
correlated,12345,4,10,1.0,0.5
correlated,12345,4,11,1.0,0.5
correlated,12345,4,12,1.0,0.5
correlated,12345,4,13,1.0,0.49999999999999994
correlated,12345,4,14,1.0,0.5
correlated,12345,4,15,1.0,0.5
correlated,12376,1,1,1.0,0.5
correlated,12376,1,2,1.0,0.5
correlated,12376,1,3,1.0,0.5
correlated,12376,1,4,1.0,0.5
correlated,12376,1,5,1.0,0.5
correlated,12376,1,6,1.0,0.5
correlated,12376,1,7,1.0,0.49999999999999994
correlated,12376,1,8,1.0,0.5
correlated,12376,1,9,1.0,0.5
correlated,12376,1,10,1.0,0.5
correlated,12376,1,11,1.0,0.5
correlated,12376,1,12,1.0,0.5
correlated,12376,1,13,1.0,0.49999999999999994
correlated,12376,1,14,1.0,0.5
correlated,12376,1,15,1.0,0.5
correlated,12376,2,1,1.0,0.5
correlated,12376,2,2,1.0,0.5
correlated,12376,2,3,1.0,0.5
correlated,12376,2,4,1.0,0.5
correlated,12376,2,5,1.0,0.5
correlated,12376,2,6,1.0,0.5
correlated,12376,2,7,1.0,0.49999999999999994
correlated,12376,2,8,1.0,0.5
correlated,12376,2,9,1.0,0.5
correlated,12376,2,10,1.0,0.5
correlated,12376,2,11,1.0,0.5
correlated,12376,2,12,1.0,0.5
correlated,12376,2,13,1.0,0.49999999999999994
correlated,12376,2,14,1.0,0.5
correlated,12376,2,15,1.0,0.5
correlated,12376,3,1,1.0,0.5
correlated,12376,3,2,1.0,0.5
correlated,12376,3,3,1.0,0.5
correlated,12376,3,4,1.0,0.5
correlated,12376,3,5,1.0,0.5
correlated,12376,3,6,1.0,0.5
correlated,12376,3,7,1.0,0.49999999999999994
correlated,12376,3,8,1.0,0.5
correlated,12376,3,9,1.0,0.5
correlated,12376,3,10,1.0,0.5
correlated,12376,3,11,1.0,0.5
correlated,12376,3,12,1.0,0.5
correlated,12376,3,13,1.0,0.49999999999999994
